ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-512276,Source2,2,2022-09-07 16:28:13,2022-09-07 22:29:41,35.221779,-114.126457,,,0.0,Lane blocked due to crash on US-93 Southbound at Exit 67 AZ-68.,US-93,Golden Valley,Mohave,AZ,86413,US,US/Mountain,KIGM,2022-09-07 16:51:00,96.0,96.0,25.0,26.59,10.0,E,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512566,Source2,2,2022-09-08 07:11:44,2022-09-08 07:40:58,33.602829,-112.252823,,,0.0,Right lane blocked due to crash on AZ-101-LOOP Northbound near Exit 11 / Thunderbird rd.,AZ-101-LOOP,Peoria,Maricopa,AZ,85381,US,US/Mountain,KGEU,2022-09-08 06:56:00,83.0,83.0,61.0,28.73,10.0,SW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512985,Source2,2,2022-09-08 06:09:46,2022-09-08 06:25:50,33.481342,-112.038826,,,0.0,3 left lane closed due to crash on AZ-51 Southbound at Exit 2 20th St.,AZ-51,Phoenix,Maricopa,AZ,85016,US,US/Mountain,KPHX,2022-09-08 05:51:00,87.0,87.0,51.0,28.71,10.0,W,10.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513002,Source2,3,2022-09-08 04:58:14,2022-09-08 05:25:27,33.412292,-112.010498,,,0.0,Left center lane blocked due to crash on I-10 Eastbound at Exit 151 32nd St.,E University Dr,Phoenix,Maricopa,AZ,85040,US,US/Mountain,KPHX,2022-09-08 04:51:00,86.0,86.0,53.0,28.71,10.0,W,10.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-513199,Source2,2,2022-09-06 15:55:11,2022-09-06 22:28:00,33.434761,-112.588509,,,2.3199999332427983,Crash on exit ramp from I-10 Westbound at Exit 114 to S Miller Rd Northbound.,Papago Fwy W,Buckeye,Maricopa,AZ,85326,US,US/Mountain,KBXK,2022-09-06 15:55:00,108.0,108.0,11.0,28.75,10.0,VAR,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513200,Source2,2,2022-09-06 19:19:20,2022-09-06 22:57:52,34.705132,-113.611847,,,0.0,Right lane blocked due to crash on US-93 Southbound after Wikieup.,Chicken Springs Rd,Lake Havasu City,Mohave,AZ,86406,US,US/Pacific,KEED,2022-09-06 18:56:00,108.0,108.0,13.0,28.74,10.0,S,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-513201,Source2,1,2022-09-06 16:05:57,2022-09-06 22:27:59,35.22094699999999,-114.124573,,,0.0,Right hand shoulder blocked due to crash on US-93 Southbound at Exit 67 AZ-68.,N US Highway 93,Golden Valley,Mohave,AZ,86413,US,US/Mountain,KIGM,2022-09-06 15:51:00,102.0,102.0,15.0,26.54,10.0,S,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513202,Source2,1,2022-09-06 17:27:51,2022-09-06 22:27:56,33.291160999999995,-112.018509,,,0.4000000059604645,Crash on exit ramp from AZ-202-LOOP Southbound at Exit 57 to S 32nd St Southbound.,,Phoenix,Maricopa,AZ,85048,US,US/Mountain,KPHX,2022-09-06 17:51:00,107.0,107.0,13.0,28.63,10.0,SSE,5.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513203,Source2,1,2022-09-06 17:07:34,2022-09-06 22:27:57,33.461315,-112.082367,,,0.0,Right hand shoulder blocked due to crash on I-10 Eastbound at Exits 144 144A 7th Ave.,I-10 W,Phoenix,Maricopa,AZ,85003,US,US/Mountain,KPHX,2022-09-06 16:51:00,109.0,109.0,13.0,28.63,10.0,ESE,12.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-513204,Source2,2,2022-09-06 20:56:16,2022-09-06 22:27:38,33.504379,-111.787926,,,0.0,Lane blocked due to crash on AZ-87 Southbound near Gilbert Rd.,N Gilbert Rd,Scottsdale,Maricopa,AZ,85256,US,US/Mountain,KFFZ,2022-09-06 20:51:00,105.0,105.0,13.0,28.65,10.0,SSE,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-513205,Source2,3,2022-09-06 21:14:38,2022-09-07 01:57:46,34.921738,-111.643959,,,0.0,Left lane blocked due to crash on I-17 Northbound near Munds Park.,I-17,Munds Park,Coconino,AZ,86017,US,US/Mountain,KSEZ,2022-09-06 20:53:00,79.0,79.0,38.0,25.1,10.0,SSW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-513317,Source2,3,2022-09-07 17:09:47,2022-09-07 18:09:12,33.427254,-112.045143,,,0.0,Left lane blocked due to crash on I-17 Southbound at Exit 195A Maricopa Fwy.,I-17,Phoenix,Maricopa,AZ,85034,US,US/Mountain,KPHX,2022-09-07 16:51:00,103.0,103.0,17.0,28.68,10.0,E,8.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513318,Source2,3,2022-09-07 17:11:24,2022-09-07 17:40:13,33.554333,-112.112328,,,0.0,Left lane blocked due to crash on I-17 Northbound at Exit 206 Black Canyon Hwy.,N Black Canyon Hwy,Phoenix,Maricopa,AZ,85021,US,US/Mountain,KDVT,2022-09-07 16:53:00,103.0,103.0,18.0,28.28,10.0,SSW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513412,Source2,1,2022-09-07 16:18:15,2022-09-07 16:47:40,33.453331,-112.108253,,,0.0,Right hand shoulder blocked due to crash on I-17 Southbound at Exits 200A 200B I-10 Exits 143A 143A-B 143B.,Arizona Veterans Memorial Hwy,Phoenix,Maricopa,AZ,85009,US,US/Mountain,KPHX,2022-09-07 15:51:00,105.0,105.0,16.0,28.71,10.0,WNW,5.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513421,Source2,3,2022-09-07 16:25:55,2022-09-07 16:55:12,33.416737,-112.016548,,,0.0,Center lane blocked due to crash on I-10 Eastbound at Exit 150B 24th St.,I-10,Phoenix,Maricopa,AZ,85040,US,US/Mountain,KPHX,2022-09-07 16:51:00,103.0,103.0,17.0,28.68,10.0,E,8.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513545,Source2,3,2022-09-07 14:15:15,2022-09-07 15:03:18,33.219173,-111.919899,,,0.0,Lane blocked due to crash on I-10 Westbound near Exit 167 Riggs Rd.,E Riggs Rd,Chandler,Maricopa,AZ,85248,US,US/Mountain,KCHD,2022-09-07 13:47:00,100.0,100.0,24.0,28.68,10.0,CALM,0.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513596,Source2,2,2022-09-07 13:47:10,2022-09-07 14:16:24,33.461971000000005,-112.025589,,,0.0,Left lane blocked due to crash on AZ-202-LOOP Westbound at Exits 1A 1B I-10 Exits 147A-B 148.,AZ-202-LOOP,Phoenix,Maricopa,AZ,85008,US,US/Mountain,KPHX,2022-09-07 13:51:00,101.0,101.0,22.0,28.77,10.0,N,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513802,Source2,3,2022-09-07 09:08:18,2022-09-07 09:51:52,33.677326,-112.11261,,,0.0,Right lane blocked due to crash on I-17 Northbound after Deer Valley Road.,N Black Canyon Hwy,Phoenix,Maricopa,AZ,85027,US,US/Mountain,KDVT,2022-09-07 08:53:00,87.0,87.0,57.0,28.43,10.0,WSW,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513861,Source2,1,2022-09-07 07:47:43,2022-09-07 08:16:37,33.462601,-112.20327,,,0.0,Crash on I-10 Eastbound at Exit 137 67th Ave.,N 67th Ave,Phoenix,Maricopa,AZ,85043,US,US/Mountain,KGEU,2022-09-07 07:56:00,85.0,85.0,59.0,28.86,10.0,NW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513862,Source2,1,2022-09-07 07:08:24,2022-09-07 07:57:26,33.668972,-112.065964,,,0.0,Crash on AZ-101-LOOP Eastbound near Exit 26 / Cave Creek Rd.,N 7th St,Phoenix,Maricopa,AZ,85024,US,US/Mountain,KDVT,2022-09-07 06:53:00,81.0,81.0,58.0,28.4,10.0,ESE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513863,Source2,1,2022-09-07 07:13:20,2022-09-07 07:57:49,33.669788,-112.139771,,,0.0,Right lane blocked due to crash on AZ-101-LOOP Eastbound near Exit 22 /Scatter Wash.,AZ-101 Loop W,Glendale,Maricopa,AZ,85308,US,US/Mountain,KDVT,2022-09-07 06:53:00,81.0,81.0,58.0,28.4,10.0,ESE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513973,Source2,3,2022-09-07 06:55:18,2022-09-07 07:22:17,33.385796,-111.875687,,,0.0,Right lane blocked due to crash on US-60 Westbound near Exit 177 Dobson Rd.,Superstition Fwy E,Mesa,Maricopa,AZ,85202,US,US/Mountain,KCHD,2022-09-07 06:47:00,82.0,82.0,54.0,28.69,10.0,CALM,0.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
