Accident_Date,Accident_Time,ID,Severity,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Stop,Traffic_Calming,Traffic_Signal,Day_or_Night
2022-05-04,00:35:00,A-4620667,2,33.45782160743018,-112.364291,33.45775160743018,-112.352981,0.652,Crash on the right shoulder on I-10 Eastbound near Dysart Rd (129),I-10,Goodyear,Maricopa,AZ,85338,US,US/Mountain,KGYR,63.0,,34.0,28.81,10.0,,,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,Night
2022-01-10,08:02:00,A-752668,2,33.494709,-112.056328,,,0.0,Accident on 12th St at Indian School Rd.,N 12th St,Phoenix,Maricopa,AZ,85014,US,US/Mountain,KPHX,58.0,58.0,27.0,29.14,10.0,ENE,10.0,0.0,Fair,False,False,True,False,False,False,False,False,False,True,Day
2022-04-24,23:29:00,A-5410011,2,33.406713,-112.061288,33.4041,-112.061327,0.181,Incident on S 8TH ST near E BROADWAY RD Expect delays., S 8th Pl,Phoenix,Maricopa,AZ,85040,US,US/Mountain,KPHX,75.0,75.0,9.0,28.72,10.0,W,7.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,True,False,False,Night
2022-01-03,15:00:00,A-4452285,2,33.497898,-112.186309,33.498668,-112.186296,0.053,Incident on N 59TH AVE near W GLENROSA AVE Expect delays., N 59th Ave,Phoenix,Maricopa,AZ,85033,US,US/Mountain,KGEU,62.0,62.0,22.0,28.95,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-04-06,05:21:00,A-658916,2,33.552662,-112.209618,,,0.0,Crash on Northern Ave at 70th Ave.,N 70th Ave,Glendale,Maricopa,AZ,85303,US,US/Mountain,KGEU,66.0,66.0,36.0,28.73,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,True,False,False,Night
2022-09-14,14:44:00,A-3947838,2,33.42895,-112.099768,33.52401500000001,-112.112209,6.607,Slow traffic on US-60 W - I-17 N - Maricopa Fwy N - Black Canyon Fwy N from 7th Ave/Central Ave/Exit 196 (I-17) to Bethany Home Rd/Exit 204 (I-17) due to accident.,S 19th Ave,Phoenix,Maricopa,AZ,85007,US,US/Mountain,KPHX,95.0,95.0,21.0,28.61,10.0,VAR,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-06-18,16:57:00,A-589435,2,33.66703,-112.221306,,,0.0,Left lane blocked due to crash on AZ-101-LOOP Westbound at Exit 17 / 75th Ave.,W Menadota Dr,Glendale,Maricopa,AZ,85308,US,US/Mountain,KDVT,93.0,93.0,33.0,28.16,10.0,SE,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-09-27,08:30:00,A-5257842,2,33.463192,-112.128525,33.464103,-112.131767,0.197,Incident on W CULVER ST near HOUSE 3300 Expect delays., N 33rd Ave,Phoenix,Maricopa,AZ,85009,US,US/Mountain,KPHX,89.0,89.0,28.0,28.75,10.0,ENE,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-04-11,14:29:00,A-4444747,2,33.509325,-112.204782,33.510071,-112.203102,0.11,Stationary traffic from N 68th Dr to W Pasadena Ave due to accident., W Camelback Rd,Glendale,Maricopa,AZ,85303,US,US/Mountain,KGEU,82.0,82.0,19.0,28.57,10.0,SW,18.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-02-04,08:10:00,A-722083,2,33.538528,-112.125618,,,0.0,Accident on Glendale Ave at 31st Ave.,N 31st Ave,Phoenix,Maricopa,AZ,85051,US,US/Mountain,KDVT,38.0,33.0,24.0,28.77,10.0,E,6.0,0.0,Fair,False,False,True,False,False,False,False,False,False,True,Day
