State,Measure Names,Year of Year,Measure Values
United States,Transit Fatalities,2023,302
United States,Recreational boating fatalities,2023,
United States,Rail fatalities,2023,1020
United States,Highway Fatalities,2023,
United States,Transit Fatalities,2022,340
United States,Recreational boating fatalities,2022,636
United States,Rail fatalities,2022,978
United States,Highway Fatalities,2022,
United States,Transit Fatalities,2021,321
United States,Recreational boating fatalities,2021,658
United States,Rail fatalities,2021,863
United States,Highway Fatalities,2021,42939
United States,Transit Fatalities,2020,289
United States,Recreational boating fatalities,2020,764
United States,Rail fatalities,2020,727
United States,Highway Fatalities,2020,39007
United States,Transit Fatalities,2019,268
United States,Recreational boating fatalities,2019,613
United States,Rail fatalities,2019,853
United States,Highway Fatalities,2019,36355
United States,Transit Fatalities,2018,260
United States,Recreational boating fatalities,2018,630
United States,Rail fatalities,2018,794
United States,Highway Fatalities,2018,36835
United States,Transit Fatalities,2017,249
United States,Recreational boating fatalities,2017,658
United States,Rail fatalities,2017,817
United States,Highway Fatalities,2017,37473
United States,Transit Fatalities,2016,259
United States,Recreational boating fatalities,2016,701
United States,Rail fatalities,2016,761
United States,Highway Fatalities,2016,37806
United States,Transit Fatalities,2015,251
United States,Recreational boating fatalities,2015,626
United States,Rail fatalities,2015,749
United States,Highway Fatalities,2015,35484
United States,Transit Fatalities,2014,240
United States,Recreational boating fatalities,2014,610
United States,Rail fatalities,2014,767
United States,Highway Fatalities,2014,32744
United States,Transit Fatalities,2013,273
United States,Recreational boating fatalities,2013,560
United States,Rail fatalities,2013,702
United States,Highway Fatalities,2013,32893
United States,Transit Fatalities,2012,265
United States,Recreational boating fatalities,2012,651
United States,Rail fatalities,2012,669
United States,Highway Fatalities,2012,33782
United States,Transit Fatalities,2011,227
United States,Recreational boating fatalities,2011,758
United States,Rail fatalities,2011,682
United States,Highway Fatalities,2011,32479
United States,Transit Fatalities,2010,224
United States,Recreational boating fatalities,2010,672
United States,Rail fatalities,2010,735
United States,Highway Fatalities,2010,32999
Alabama,Transit Fatalities,2023,0
Alabama,Recreational boating fatalities,2023,
Alabama,Rail fatalities,2023,13
Alabama,Highway Fatalities,2023,
Alabama,Transit Fatalities,2022,0
Alabama,Recreational boating fatalities,2022,11
Alabama,Rail fatalities,2022,20
Alabama,Highway Fatalities,2022,
Alabama,Transit Fatalities,2021,0
Alabama,Recreational boating fatalities,2021,10
Alabama,Rail fatalities,2021,21
Alabama,Highway Fatalities,2021,983
Alabama,Transit Fatalities,2020,0
Alabama,Recreational boating fatalities,2020,19
